Season,Episode,Episode Title,Name,tokens
1,1,Winter is Coming,eddard stark,"['understand', 'kill']"
1,1,Winter is Coming,bran stark,"['way', 'old', 'way']"
1,1,Winter is Coming,eddard stark,"['man', 'pass', 'sentence', 'swing', 'sword']"
1,1,Winter is Coming,bran stark,"['true', 'saw', 'white', 'walker']"
1,1,Winter is Coming,eddard stark,"['white', 'walker', 'gone', 'thousand', 'year']"
1,1,Winter is Coming,bran stark,['lying']
1,1,Winter is Coming,eddard stark,"['madman', 'see', 'see']"
1,1,Winter is Coming,jon snow,[]
1,1,Winter is Coming,theon greyjoy,"['mountain', 'lion']"
1,1,Winter is Coming,eddard stark,"['mountain', 'lion', 'wood']"
1,1,Winter is Coming,theon greyjoy,['freak']
1,1,Winter is Coming,eddard stark,['direwolf']
1,1,Winter is Coming,eddard stark,"['tough', 'old', 'beast']"
1,1,Winter is Coming,robb stark,"['direwolves', 'south', 'wall']"
1,1,Winter is Coming,jon snow,['five']
1,1,Winter is Coming,jon snow,"['want', 'hold']"
1,1,Winter is Coming,bran stark,"['go', 'mother', 'dead']"
1,1,Winter is Coming,cassel,"['nt', 'belong']"
1,1,Winter is Coming,eddard stark,"['better', 'quick', 'death', 'wo', 'nt', 'last', 'without', 'mother']"
1,1,Winter is Coming,theon greyjoy,"['right', 'give']"
1,1,Winter is Coming,bran stark,[]
1,1,Winter is Coming,robb stark,"['put', 'away', 'blade']"
1,1,Winter is Coming,theon greyjoy,"['take', 'order', 'father']"
1,1,Winter is Coming,bran stark,"['please', 'father']"
1,1,Winter is Coming,eddard stark,"['sorry', 'bran']"
1,1,Winter is Coming,jon snow,"['lord', 'stark', 'five', 'pup', 'one', 'stark', 'child', 'direwolf', 'sigil', 'house', 'meant']"
1,1,Winter is Coming,eddard stark,"['train', 'feed', 'die', 'bury']"
1,1,Winter is Coming,bran stark,[]
1,1,Winter is Coming,jon snow,"['stark', 'get']"
1,1,Winter is Coming,robb stark,[]
1,1,Winter is Coming,theon greyjoy,"['runt', 'litter', 'one', 'snow']"
1,1,Winter is Coming,jaime lannister,"['brother', 'feel', 'duty', 'warn']"
1,1,Winter is Coming,cersei lannister,"['never', 'worry', 'anything', 'seven', 'jumped', 'cliff', 'casterly', 'rock', 'one', 'hundred', 'foot', 'drop', 'water', 'never', 'afraid']"
1,1,Winter is Coming,jaime lannister,"['nothing', 'afraid', 'told', 'father', 'whisper', 'mimicking', 'lannisters', 'lannisters', 'nt', 'act', 'like', 'fool']"
1,1,Winter is Coming,cersei lannister,"['jon', 'arryn', 'told', 'someone']"
1,1,Winter is Coming,jaime lannister,"['would', 'tell']"
1,1,Winter is Coming,cersei lannister,['husband']
1,1,Winter is Coming,jaime lannister,"['told', 'king', 'head', 'would', 'skewered', 'city', 'gate', 'whatever', 'jon', 'arryn', 'knew', 'nt', 'know', 'died', 'robert', 'choose', 'new', 'hand', 'king', 'someone', 'job', 'fucking', 'boar', 'hunting', 'whore', 'way', 'around', 'life', 'go']"
1,1,Winter is Coming,cersei lannister,"['hand', 'king']"
1,1,Winter is Coming,jaime lannister,"['honor', 'without', 'day', 'long', 'life', 'short']"
1,1,Winter is Coming,catelyn stark,"['year', 'still', 'feel', 'like', 'outsider', 'come']"
1,1,Winter is Coming,eddard stark,"['five', 'northern', 'child', 'outsider']"
1,1,Winter is Coming,catelyn stark,"['wonder', 'old', 'god', 'agree']"
1,1,Winter is Coming,eddard stark,"['god', 'rule']"
1,1,Winter is Coming,catelyn stark,"['sorry', 'love']"
1,1,Winter is Coming,eddard stark,['tell']
1,1,Winter is Coming,catelyn stark,"['raven', 'king', 'landing', 'jon', 'arryn', 'dead', 'fever', 'took', 'know', 'like', 'father']"
1,1,Winter is Coming,eddard stark,"['sister', 'boy']"
1,1,Winter is Coming,catelyn stark,"['health', 'god', 'good', 'pause', 'raven', 'brought', 'news', 'king', 'ride', 'winterfell', 'queen', 'rest']"
1,1,Winter is Coming,eddard stark,"['coming', 'far', 'north', 'one', 'thing']"
1,1,Winter is Coming,catelyn stark,"['always', 'say', 'ned']"
1,1,Winter is Coming,catelyn stark,"['need', 'plenty', 'candle', 'lord', 'tyrion', 'chamber', 'told', 'read', 'night']"
1,1,Winter is Coming,maester luwin,"['told', 'drink', 'night']"
1,1,Winter is Coming,catelyn stark,"['much', 'could', 'possibly', 'drink', 'man', 'stature']"
1,1,Winter is Coming,luwin,"['brought', 'eight', 'barrel', 'ale', 'cellar', 'perhaps', 'find']"
1,1,Winter is Coming,catelyn stark,"['case', 'candle']"
1,1,Winter is Coming,jon snow,"['mother', 'deadset', 'u', 'getting', 'pretty', 'king']"
1,1,Winter is Coming,theon greyjoy,"['queen', 'bet', 'hear', 'sleek', 'mink']"
1,1,Winter is Coming,robb stark,"['hear', 'prince', 'right', 'royal', 'prick']"
1,1,Winter is Coming,theon greyjoy,"['think', 'southern', 'girl', 'get', 'stab', 'right', 'royal', 'prick']"
1,1,Winter is Coming,robb stark,"['go', 'tommy', 'shave', 'good', 'never', 'met', 'girl', 'like', 'better', 'hair']"
1,1,Winter is Coming,catelyn stark,"['god', 'grow', 'fast', 'seeing', 'bran', 'wall', 'brandon']"
1,1,Winter is Coming,bran stark,"['saw', 'king', 'got', 'hundred', 'people']"
1,1,Winter is Coming,catelyn stark,"['many', 'time', 'told']"
1,1,Winter is Coming,bran stark,"['coming', 'right', 'road']"
1,1,Winter is Coming,catelyn stark,"['want', 'promise']"
1,1,Winter is Coming,bran stark,['promise']
1,1,Winter is Coming,catelyn stark,"['dyou', 'know']"
1,1,Winter is Coming,bran stark,[]
1,1,Winter is Coming,catelyn stark,"['always', 'look', 'foot', 'lie', 'run', 'find', 'father', 'tell', 'king', 'close']"
1,1,Winter is Coming,catelyn stark,"['arya', 'sansa', 'sister']"
1,1,Winter is Coming,eddard stark,"['hey', 'hey', 'hey', 'hey', 'pull', 'arya', 'helm']"
1,1,Winter is Coming,arya stark,['move']
1,1,Winter is Coming,eddard stark,['grace']
1,1,Winter is Coming,robert baratheon,"['got', 'fat']"
1,1,Winter is Coming,robert baratheon,['cat']
1,1,Winter is Coming,catelyn stark,['grace']
1,1,Winter is Coming,robert baratheon,"['nine', 'year', 'nt', 'seen', 'hell']"
1,1,Winter is Coming,eddard stark,"['guarding', 'north', 'grace', 'winterfell']"
1,1,Winter is Coming,arya stark,['imp']
1,1,Winter is Coming,sansa stark,['shut']
1,1,Winter is Coming,robert baratheon,"['must', 'robb', 'pretty', 'one', 'name']"
1,1,Winter is Coming,arya stark,['arya']
1,1,Winter is Coming,robert baratheon,"['ooh', 'show', 'u', 'muscle', 'soldier']"
1,1,Winter is Coming,arya stark,"['jaime', 'lannister', 'queen', 'twin', 'brother']"
1,1,Winter is Coming,sansa stark,"['would', 'please', 'shut']"
1,1,Winter is Coming,eddard stark,['queen']
1,1,Winter is Coming,catelyn stark,['queen']
1,1,Winter is Coming,robert baratheon,"['take', 'crypt', 'want', 'pay', 'respect']"
1,1,Winter is Coming,cersei lannister,"['riding', 'month', 'love', 'surely', 'dead', 'wait']"
1,1,Winter is Coming,robert baratheon,['ned']
1,1,Winter is Coming,cersei lannister,"['brother', 'go', 'find', 'little', 'beast']"
1,1,Winter is Coming,eddard stark,"['tell', 'jon', 'arryn']"
1,1,Winter is Coming,robert baratheon,"['one', 'minute', 'fine', 'burned', 'right', 'whatever', 'loved', 'man']"
1,1,Winter is Coming,eddard stark,[]
1,1,Winter is Coming,robert baratheon,"['never', 'teach', 'much', 'remember', 'wanted', 'crack', 'skull', 'fuck', 'girl', 'showed']"
1,1,Winter is Coming,eddard stark,['aye']
1,1,Winter is Coming,robert baratheon,"['nt', 'look', 'like', 'fault', 'nt', 'listen', 'need', 'ned', 'king', 'landing', 'damn', 'use', 'anybody', 'lord', 'eddard', 'stark', 'would', 'name', 'hand', 'king']"
1,1,Winter is Coming,eddard stark,"['worthy', 'honor']"
1,1,Winter is Coming,robert baratheon,"['trying', 'honor', 'trying', 'get', 'run', 'kingdom', 'eat', 'drink', 'whore', 'way', 'early', 'grave', 'damn', 'ned', 'stand', 'helped', 'win', 'iron', 'throne', 'help', 'keep', 'damn', 'thing', 'meant', 'rule', 'together', 'sister', 'lived', 'would', 'bound', 'blood', 'well', 'late', 'son', 'daughter', 'join', 'house']"
1,1,Winter is Coming,tyrion lannister,"['mmh', 'true', 'say', 'northern', 'girl']"
1,1,Winter is Coming,ros,"['hear', 'king', 'winterfell']"
1,1,Winter is Coming,tyrion lannister,"['hear', 'something']"
1,1,Winter is Coming,ros,"['queen', 'twin', 'brother', 'say', 'handsome', 'man', 'seven', 'kingdom']"
1,1,Winter is Coming,tyrion lannister,['brother']
1,1,Winter is Coming,ros,"['queen', 'two', 'brother']"
1,1,Winter is Coming,tyrion lannister,"['pretty', 'one', 'clever', 'one']"
1,1,Winter is Coming,ros,"['hear', 'call', 'imp']"
1,1,Winter is Coming,tyrion lannister,"['hear', 'hate', 'nickname']"
1,1,Winter is Coming,ros,"['oh', 'hear', 'earned', 'hear', 'drunken', 'little', 'lecher', 'manner', 'perversion']"
1,1,Winter is Coming,tyrion lannister,"['clever', 'girl']"
1,1,Winter is Coming,ros,"['expecting', 'lord', 'tyrion']"
1,1,Winter is Coming,tyrion lannister,[]
1,1,Winter is Coming,tyrion lannister,"['god', 'gave', 'one', 'blessing']"
1,1,Winter is Coming,jaime lannister,"['nt', 'get']"
1,1,Winter is Coming,ros,['mlord']
1,1,Winter is Coming,tyrion lannister,"['explain', 'meaning', 'closed', 'door', 'whorehouse', 'brother']"
1,1,Winter is Coming,jaime lannister,"['much', 'teach', 'doubt', 'sister', 'craves', 'attention']"
1,1,Winter is Coming,tyrion lannister,"['odd', 'craving', 'sister']"
1,1,Winter is Coming,jaime lannister,"['family', 'trait', 'starks', 'feasting', 'u', 'sundown', 'nt', 'leave', 'alone', 'people']"
1,1,Winter is Coming,tyrion lannister,"['sorry', 'begun', 'feast', 'bit', 'early', 'first', 'many', 'course']"
1,1,Winter is Coming,jaime lannister,"['thought', 'might', 'say', 'since', 'short', 'time', 'come', 'girl', 'see', 'sundown']"
1,1,Winter is Coming,tyrion lannister,"['close', 'door']"
1,1,Winter is Coming,robert baratheon,"['bury', 'place', 'like', 'hill', 'somewhere', 'sun', 'cloud']"
1,1,Winter is Coming,eddard stark,"['sister', 'belongs']"
1,1,Winter is Coming,robert baratheon,['belonged']
1,1,Winter is Coming,robert baratheon,"['dream', 'kill', 'every', 'night']"
1,1,Winter is Coming,eddard stark,"['done', 'grace', 'targaryens', 'gone']"
1,1,Winter is Coming,robert baratheon,[]
1,1,Winter is Coming,viserys,['daenerys']
1,1,Winter is Coming,viserys,"['daenerys', 'bride', 'look', 'gift', 'illyrio', 'touch', 'come', 'feel', 'fabric', 'mmmm', 'nt', 'gracious', 'host']"
1,1,Winter is Coming,daenerys targaryen,"['guest', 'year', 'never', 'asked', 'u', 'anything']"
1,1,Winter is Coming,viserys,"['illyrio', 'fool', 'know', 'wo', 'nt', 'forget', 'friend', 'come', 'throne', 'still', 'slouch', 'let', 'see', 'woman', 'body', 'need', 'perfect', 'today', 'nt', 'want', 'wake', 'dragon']"
1,1,Winter is Coming,daenerys targaryen,[]
1,1,Winter is Coming,viserys,"['write', 'history', 'reign', 'sweet', 'sister', 'say', 'began', 'today']"
1,1,Winter is Coming,maid,"['hot', 'lady']"
1,1,Winter is Coming,viserys,[]
1,1,Winter is Coming,illyrio,"['dothraki', 'known', 'punctuality']"
1,1,Winter is Coming,illyrio,"['may', 'present', 'honored', 'guest', 'viserys', 'house', 'targaryen', 'third', 'name', 'rightful', 'king', 'andals', 'first', 'men', 'sister', 'daenerys', 'house', 'targaryen']"
1,1,Winter is Coming,viserys,"['see', 'long', 'hair', 'dothraki', 'defeated', 'combat', 'cut', 'braid', 'whole', 'world', 'see', 'shame', 'khal', 'drogo', 'never', 'defeated', 'savage', 'course', 'one', 'finest', 'killer', 'alive', 'queen']"
1,1,Winter is Coming,illyrio,"['come', 'forward', 'dear']"
1,1,Winter is Coming,viserys,['going']
1,1,Winter is Coming,illyrio,['ceremony']
1,1,Winter is Coming,viserys,"['nt', 'say', 'anything', 'like']"
1,1,Winter is Coming,illyrio,"['trust', 'grace', 'nt', 'like', 'know']"
1,1,Winter is Coming,illyrio,"['wo', 'nt', 'long', 'soon', 'cross', 'narrow', 'sea', 'take', 'back', 'father', 'throne', 'people', 'drink', 'secret', 'toast', 'health', 'cry', 'true', 'king']"
1,1,Winter is Coming,viserys,['married']
1,1,Winter is Coming,illyrio,"['soon', 'dothraki', 'never', 'stay', 'still', 'long']"
1,1,Winter is Coming,viserys,"['true', 'lie', 'horse']"
1,1,Winter is Coming,illyrio,"['would', 'nt', 'ask', 'khal', 'drogo']"
1,1,Winter is Coming,viserys,"['take', 'fool']"
1,1,Winter is Coming,illyrio,"['take', 'king', 'king', 'lack', 'caution', 'common', 'men', 'apology', 'given', 'offense']"
1,1,Winter is Coming,viserys,"['know', 'play', 'man', 'like', 'drogo', 'give', 'queen', 'give', 'army']"
1,1,Winter is Coming,daenerys targaryen,"['nt', 'want', 'queen', 'want', 'go', 'home']"
1,1,Winter is Coming,viserys,"['want', 'u', 'go', 'home', 'took', 'u', 'tell', 'sweet', 'sister', 'go', 'home']"
1,1,Winter is Coming,daenerys targaryen,"['nt', 'know']"
1,1,Winter is Coming,viserys,"['go', 'home', 'army', 'khal', 'drogo', 'army', 'would', 'let', 'whole', 'tribe', 'fuck', 'men', 'horse', 'took']"
1,1,Winter is Coming,sansa stark,"['think', 'joffrey', 'like', 'think', 'ugly']"
1,1,Winter is Coming,catelyn stark,"['stupidest', 'prince', 'ever', 'lived']"
1,1,Winter is Coming,sansa stark,['handsome']
1,1,Winter is Coming,sansa stark,"['would', 'married', 'soon', 'wait']"
1,1,Winter is Coming,catelyn stark,"['hush', 'father', 'nt', 'even', 'said', 'yes']"
1,1,Winter is Coming,sansa stark,"['would', 'say', 'second', 'powerful', 'man', 'kingdom']"
1,1,Winter is Coming,catelyn stark,"['leave', 'home', 'leave', 'would']"
1,1,Winter is Coming,sansa stark,"['left', 'home', 'come', 'queen', 'someday', 'please', 'make', 'father', 'say', 'yes']"
1,1,Winter is Coming,catelyn stark,[]
1,1,Winter is Coming,sansa stark,"['please', 'please', 'thing', 'ever', 'wanted']"
1,1,Winter is Coming,benjen,"['dead', 'yet']"
1,1,Winter is Coming,jon snow,"['uncle', 'benjen']"
1,1,Winter is Coming,benjen,"['got', 'bigger', 'rode', 'day', 'nt', 'want', 'leave', 'alone', 'lannisters', 'nt', 'feast']"
1,1,Winter is Coming,jon snow,"['lady', 'stark', 'thought', 'might', 'insult', 'royal', 'family', 'seat', 'bastard', 'midst']"
1,1,Winter is Coming,benjen,"['well', 'always', 'welcome', 'wall', 'bastard', 'ever', 'refused', 'seat']"
1,1,Winter is Coming,jon snow,"['take', 'go', 'back']"
1,1,Winter is Coming,benjen,[]
1,1,Winter is Coming,jon snow,"['father', 'let', 'ask', 'know']"
1,1,Winter is Coming,benjen,"['wall', 'nt', 'going', 'anywhere']"
1,1,Winter is Coming,jon snow,"['ready', 'swear', 'oath']"
1,1,Winter is Coming,benjen,"['nt', 'understand', 'giving', 'family', 'none', 'u', 'ever', 'father', 'son']"
1,1,Winter is Coming,jon snow,"['nt', 'care']"
1,1,Winter is Coming,benjen,"['might', 'knew', 'meant', 'better', 'get', 'inside', 'rescue', 'father', 'guest', 'talk', 'later']"
1,1,Winter is Coming,tyrion lannister,"['uncle', 'night', 'watch']"
1,1,Winter is Coming,jon snow,['back']
1,1,Winter is Coming,tyrion lannister,"['preparing', 'night', 'family', 'always', 'wanted', 'see', 'wall']"
1,1,Winter is Coming,jon snow,"['tyrion', 'lannister', 'queen', 'brother']"
1,1,Winter is Coming,tyrion lannister,"['greatest', 'accomplishment', 'ned', 'stark', 'bastard', 'nt']"
1,1,Winter is Coming,tyrion lannister,"['offend', 'sorry', 'bastard', 'though']"
1,1,Winter is Coming,jon snow,"['lord', 'eddard', 'stark', 'father']"
1,1,Winter is Coming,tyrion lannister,"['lady', 'stark', 'mother', 'making', 'bastard', 'let', 'give', 'advice', 'bastard', 'never', 'forget', 'rest', 'world', 'wear', 'like', 'armor', 'never', 'used', 'hurt']"
1,1,Winter is Coming,jon snow,"['hell', 'know', 'bastard']"
1,1,Winter is Coming,tyrion lannister,"['dwarf', 'bastard', 'father', 'eye']"
1,1,Winter is Coming,benjen,"['feast', 'like', 'bear', 'trap']"
1,1,Winter is Coming,eddard stark,"['boy', 'beheaded', 'know']"
1,1,Winter is Coming,benjen,"['course', 'lad', 'tough', 'ned', 'true', 'ranger']"
1,1,Winter is Coming,eddard stark,"['talking', 'madness', 'said', 'walker', 'slaughtered', 'friend']"
1,1,Winter is Coming,benjen,"['two', 'still', 'missing']"
1,1,Winter is Coming,eddard stark,"['wildling', 'ambush']"
1,1,Winter is Coming,benjen,"['maybe', 'direwolves', 'south', 'wall', 'talk', 'walker', 'brother', 'might', 'next', 'hand', 'king', 'winter', 'coming']"
1,1,Winter is Coming,eddard stark,"['winter', 'coming']"
1,1,Winter is Coming,robb stark,"['uncle', 'benjen']"
1,1,Winter is Coming,benjen,"['robb', 'boy', 'ye']"
1,1,Winter is Coming,robb stark,['good']
1,1,Winter is Coming,catelyn stark,"['first', 'time', 'north', 'grace']"
1,1,Winter is Coming,cersei lannister,"['yes', 'lovely', 'country']"
1,1,Winter is Coming,catelyn stark,"['sure', 'grim', 'king', 'landing', 'remember', 'scared', 'ned', 'brought', 'first', 'time']"
1,1,Winter is Coming,cersei lannister,"['hello', 'little', 'dove', 'beauty', 'old']"
1,1,Winter is Coming,sansa stark,"['thirteen', 'grace']"
1,1,Winter is Coming,cersei lannister,"['tall', 'still', 'growing']"
1,1,Winter is Coming,sansa stark,"['think', 'grace']"
1,1,Winter is Coming,cersei lannister,"['bled', 'yet']"
1,1,Winter is Coming,sansa stark,['grace']
1,1,Winter is Coming,cersei lannister,"['dress', 'make']"
1,1,Winter is Coming,cersei lannister,"['talent', 'must', 'make', 'something']"
1,1,Winter is Coming,cersei lannister,"['hear', 'might', 'share', 'grandchild', 'someday']"
1,1,Winter is Coming,catelyn stark,['hear']
1,1,Winter is Coming,cersei lannister,"['daughter', 'well', 'capital', 'beauty', 'nt', 'stay', 'hidden', 'forever']"
1,1,Winter is Coming,eddard stark,['pardon']
1,1,Winter is Coming,jaime lannister,"['hear', 'might', 'neighbor', 'soon', 'hope', 'true']"
1,1,Winter is Coming,eddard stark,"['yes', 'king', 'honored', 'offer']"
1,1,Winter is Coming,jaime lannister,"['sure', 'tournament', 'celebrate', 'new', 'title', 'accept', 'would', 'good', 'field', 'competition', 'become', 'bit', 'stale']"
1,1,Winter is Coming,eddard stark,"['nt', 'fight', 'tournament']"
1,1,Winter is Coming,jaime lannister,"['getting', 'little', 'old']"
1,1,Winter is Coming,eddard stark,"['nt', 'fight', 'tournament', 'fight', 'man', 'real', 'nt', 'want', 'know']"
1,1,Winter is Coming,jaime lannister,"['well', 'said']"
1,1,Winter is Coming,sansa stark,['arya']
1,1,Winter is Coming,robb stark,"['time', 'bed']"
1,1,Winter is Coming,eddard stark,"['northman', 'belong', 'south', 'rat', 'nest', 'call', 'capital']"
1,1,Winter is Coming,catelyn stark,"['wo', 'nt', 'let', 'take']"
1,1,Winter is Coming,eddard stark,"['king', 'take', 'want', 'king']"
1,1,Winter is Coming,catelyn stark,"['say', 'listen', 'fat', 'man', 'taking', 'husband', 'anywhere', 'belongs']"
1,1,Winter is Coming,eddard stark,"['get', 'fat']"
1,1,Winter is Coming,catelyn stark,"['stop', 'eating', 'time', 'drink']"
1,1,Winter is Coming,a voice,"['maester', 'luwin', 'lord']"
1,1,Winter is Coming,eddard stark,['send']
1,1,Winter is Coming,luwin,"['pardon', 'lord', 'lady', 'rider', 'night', 'sister']"
1,1,Winter is Coming,eddard stark,['stay']
1,1,Winter is Coming,catelyn stark,"['sent', 'eyrie', 'eyrie', 'nt', 'back', 'since', 'wedding']"
1,1,Winter is Coming,eddard stark,['news']
1,1,Winter is Coming,catelyn stark,"['fled', 'capital', 'say', 'jon', 'arryn', 'murdered', 'lannisters', 'say', 'king', 'danger']"
1,1,Winter is Coming,eddard stark,"['fresh', 'widowed', 'cat', 'nt', 'know', 'saying']"
1,1,Winter is Coming,catelyn stark,"['lysa', 'head', 'would', 'spike', 'right', 'wrong', 'people', 'found', 'letter', 'think', 'would', 'risk', 'life', 'son', 'life', 'nt', 'certain', 'husband', 'murdered']"
1,1,Winter is Coming,luwin,"['news', 'true', 'lannisters', 'conspire', 'throne', 'protect', 'king']"
1,1,Winter is Coming,catelyn stark,"['murdered', 'last', 'hand', 'want', 'ned', 'take', 'job']"
1,1,Winter is Coming,luwin,"['king', 'rode', 'month', 'ask', 'lord', 'stark', 'help', 'one', 'trust', 'swore', 'king', 'oath', 'lord']"
1,1,Winter is Coming,catelyn stark,"['spent', 'half', 'life', 'fighting', 'robert', 'war', 'owes', 'nothing', 'father', 'brother', 'rode', 'south', 'king', 'demand']"
1,1,Winter is Coming,luwin,"['different', 'time', 'different', 'king']"
1,1,Winter is Coming,viserys,"['meet', 'khal', 'need', 'begin', 'planning', 'invasion']"
1,1,Winter is Coming,illyrio,"['khal', 'drogo', 'promised', 'crown', 'shall']"
1,1,Winter is Coming,viserys,[]
1,1,Winter is Coming,illyrio,"['omen', 'favor', 'war']"
1,1,Winter is Coming,viserys,"['piss', 'dothraki', 'omen', 'waited', 'year', 'get', 'throne', 'back']"
1,1,Winter is Coming,illyrio,"['dothraki', 'wedding', 'without', 'least', 'three', 'death', 'considered', 'dull', 'affair']"
1,1,Winter is Coming,jorah mormont,"['small', 'gift', 'new', 'khaleesi', 'song', 'history', 'seven', 'kingdom']"
1,1,Winter is Coming,daenerys targaryen,"['thank', 'ser', 'country']"
1,1,Winter is Coming,jorah mormont,"['ser', 'jorah', 'mormont', 'bear', 'island', 'served', 'father', 'many', 'year', 'god', 'good', 'hope', 'always', 'serve', 'rightful', 'king']"
1,1,Winter is Coming,illyrio,"['dragon', 'egg', 'daenerys', 'shadow', 'land', 'beyond', 'asshai', 'age', 'turned', 'stone', 'always', 'beautiful']"
1,1,Winter is Coming,daenerys targaryen,"['thank', 'magister']"
1,1,Winter is Coming,daenerys targaryen,"['beautiful', 'ser', 'jorah', 'nt', 'know', 'say', 'thank', 'dothraki']"
1,1,Winter is Coming,jorah mormont,"['word', 'thank', 'dothraki']"
1,1,Winter is Coming,viserys,"['make', 'happy']"
1,1,Winter is Coming,khal drogo,[]
1,1,Winter is Coming,daenerys targaryen,"['know', 'common', 'tongue']"
1,1,Winter is Coming,daenerys targaryen,"['word', 'know']"
1,1,Winter is Coming,sandor clegane,"['rough', 'night', 'imp']"
1,1,Winter is Coming,tyrion lannister,"['get', 'without', 'squirting', 'one', 'end', 'miracle']"
1,1,Winter is Coming,sandor clegane,"['nt', 'pick', 'hunter']"
1,1,Winter is Coming,tyrion lannister,"['greatest', 'land', 'spear', 'never', 'miss']"
1,1,Winter is Coming,sandor clegane,"['hunting', 'pay']"
1,1,Winter is Coming,robert baratheon,"['good', 'spear', 'used']"
1,1,Winter is Coming,eddard stark,"['still', 'better']"
1,1,Winter is Coming,robert baratheon,"['know', 'putting', 'thank', 'saying', 'yes', 'ask', 'need', 'loyal', 'friend', 'hear', 'loyal', 'friend', 'last', 'one', 'got']"
1,1,Winter is Coming,eddard stark,"['hope', 'serve', 'well']"
1,1,Winter is Coming,robert baratheon,"['make', 'sure', 'nt', 'look', 'fucking', 'grim', 'time', 'come', 'boy', 'let', 'go', 'kill', 'boar']"
1,1,Winter is Coming,bran stark,['come']
1,1,Winter is Coming,cersei lannister,"['stop', 'stop']"
1,1,Winter is Coming,jaime lannister,"['completely', 'mad']"
1,1,Winter is Coming,cersei lannister,"['saw', 'u']"
