,sceneStart,sceneEnd,location,subLocation,characters,episodeNumber,seasonNumber
44,0:20:07,0:21:51,The North,Winterfell,"['Tyrion Lannister', 'Benjen Stark', 'Eddard Stark', 'Jon Snow']",2,1
45,0:21:51,0:25:10,The North,The Kingsroad South to King's Landing,"['Robert Baratheon', 'Eddard Stark']",2,1
46,0:25:10,0:25:56,The Dothraki Sea,Dothraki Camp,"['Khal Drogo', 'Daenerys Targaryen', 'Drogon', 'Rhaegal', 'Viserion']",2,1
47,0:25:56,0:29:16,The North,North to the Wall,"['Jon Snow', 'Ghost', 'Benjen Stark', 'Tyrion Lannister', 'Rast']",2,1
48,0:29:16,0:32:28,The North,Winterfell,"['Catelyn Stark', 'Bran Stark', 'Maester Luwin', 'Robb Stark', 'Catspaw Assassin', 'Summer']",2,1
49,0:32:28,0:34:21,The Dothraki Sea,Dothraki Camp,"['Daenerys Targaryen', 'Doreah', 'Irri', 'Jhiqui', 'Drogon', 'Rhaegal', 'Viserion']",2,1
50,0:34:21,0:34:53,The Wall,The Gift,"['Benjen Stark', 'Jon Snow', 'Tyrion Lannister']",2,1
51,0:34:53,0:36:12,The North,Winterfell,['Catelyn Stark'],2,1
52,0:36:12,0:38:01,The North,Winterfell,"['Catelyn Stark', 'Robb Stark', 'Maester Luwin', 'Rodrik Cassel', 'Theon Greyjoy']",2,1
53,0:38:01,0:38:54,The North,Winterfell,"['Catelyn Stark', 'Bran Stark']",2,1
54,0:38:54,0:40:37,The Dothraki Sea,Dothraki Camp,"['Daenerys Targaryen', 'Doreah']",2,1
55,0:40:37,0:42:47,The Dothraki Sea,Dothraki Camp,"['Drogon', 'Rhaegal', 'Viserion', 'Khal Drogo', 'Daenerys Targaryen']",2,1
56,0:42:47,0:44:38,The Riverlands,Crossroads Inn,"['Sansa Stark', 'Lady', 'Joffrey Baratheon', 'Sandor Clegane', 'Ilyn Payne']",2,1
57,0:44:38,0:47:21,The Riverlands,Crossroads Inn,"['Arya Stark', 'Mycah', 'Joffrey Baratheon', 'Sansa Stark', 'Nymeria']",2,1
58,0:47:21,0:48:12,The Riverlands,Crossroads Inn,"['Arya Stark', 'Nymeria']",2,1
59,0:48:12,0:48:50,The Riverlands,Crossroads Inn,"['Eddard Stark', 'Jory Cassel']",2,1
60,0:48:50,0:52:59,The Riverlands,Crossroads Inn,"['Eddard Stark', 'Arya Stark', 'Joffrey Baratheon', 'Cersei Lannister', 'Robert Baratheon', 'Ilyn Payne', 'Sansa Stark', 'Jory Cassel']",2,1
61,0:52:59,0:53:30,The Riverlands,Crossroads Inn,"['Sandor Clegane', 'Mycah', 'Eddard Stark']",2,1
62,0:53:30,0:53:41,The North,Winterfell,"['Bran Stark', 'Summer']",2,1
63,0:53:41,0:54:09,The Riverlands,Crossroads Inn,"['Lady', 'Eddard Stark']",2,1
64,0:54:09,0:54:25,The North,Winterfell,"['Bran Stark', 'Summer']",2,1
65,0:54:25,0:54:35,The Riverlands,Crossroads Inn,"['Eddard Stark', 'Lady']",2,1
66,0:54:35,0:54:44,The North,Winterfell,"['Bran Stark', 'Summer']",2,1
67,0:01:47,0:02:42,The Crownlands,King's Landing,"['Eddard Stark', 'Sansa Stark', 'Arya Stark', 'Jory Cassel', 'Septa Mordane', 'Royal Steward']",3,1
68,0:02:42,0:05:17,The Crownlands,King's Landing,"['Eddard Stark', 'Jaime Lannister']",3,1
69,0:05:17,0:08:11,The Crownlands,King's Landing,"['Eddard Stark', 'Lord Varys', 'Grand Maester Pycelle', 'Renly Baratheon', 'Petyr Baelish']",3,1
70,0:08:11,0:10:50,The Crownlands,King's Landing,"['Joffrey Baratheon', 'Cersei Lannister']",3,1
71,0:10:50,0:12:11,The Crownlands,King's Landing,"['Arya Stark', 'Sansa Stark', 'Septa Mordane', 'Eddard Stark']",3,1
72,0:12:11,0:15:48,The Crownlands,King's Landing,"['Arya Stark', 'Eddard Stark']",3,1
73,0:15:48,0:18:50,The North,Winterfell,"['Bran Stark', 'Old Nan', 'Robb Stark']",3,1
74,0:18:50,0:21:42,The Crownlands,King's Landing,"['Rodrik Cassel', 'Catelyn Stark', 'Petyr Baelish', 'Lord Varys']",3,1
75,0:21:42,0:23:18,The Wall,Castle Black,"['Tyrion Lannister', 'Jeor Mormont', 'Alliser Thorne', 'Jon Snow', 'Pypar', 'Grenn', 'Rast']",3,1
76,0:23:18,0:24:07,The Crownlands,King's Landing,"['Eddard Stark', 'Grand Maester Pycelle', 'Petyr Baelish']",3,1
77,0:24:07,0:24:42,The Crownlands,King's Landing,"['Eddard Stark', 'Petyr Baelish', 'Catelyn Stark']",3,1
78,0:24:42,0:26:42,The Wall,Castle Black,"['Jon Snow', 'Rast', 'Grenn', 'Pypar', 'Tyrion Lannister']",3,1
79,0:26:42,0:27:19,The Crownlands,King's Landing,"['Petyr Baelish', 'Catelyn Stark', 'Eddard Stark']",3,1
80,0:27:19,0:28:28,The Crownlands,King's Landing,"['Cersei Lannister', 'Jaime Lannister']",3,1
81,0:28:28,0:30:07,The Crownlands,King's Landing,"['Eddard Stark', 'Catelyn Stark', 'Rodrik Cassel', 'Jory Cassel']",3,1
82,0:30:07,0:34:39,The Crownlands,King's Landing,"['Robert Baratheon', 'Barristan Selmy', 'Lancel Lannister', 'Jaime Lannister']",3,1
83,0:34:39,0:38:17,The Dothraki Sea,,"['Khal Drogo', 'Daenerys Targaryen', 'Jorah Mormont', 'Viserys Targaryen', 'Rakharo', 'Irri']",3,1
84,0:38:17,0:41:52,The Wall,Castle Black,"['Jon Snow', 'Benjen Stark']",3,1
85,0:41:52,0:45:46,The Wall,Castle Black,"['Tyrion Lannister', 'Yoren', 'Benjen Stark']",3,1
86,0:45:46,0:46:24,The Dothraki Sea,Dothraki Camp,"['Daenerys Targaryen', 'Irri']",3,1
87,0:46:24,0:48:38,The Dothraki Sea,Dothraki Camp,"['Jorah Mormont', 'Rakharo', 'Irri']",3,1
88,0:48:38,0:50:41,The Wall,Castle Black,"['Tyrion Lannister', 'Jon Snow', 'Pypar', 'Grenn', 'Rast', 'Maester Aemon', 'Jeor Mormont']",3,1
89,0:50:41,0:51:30,The Dothraki Sea,Dothraki Camp,"['Drogon', 'Rhaegal', 'Viserion', 'Daenerys Targaryen', 'Khal Drogo']",3,1
90,0:51:30,0:52:32,The Wall,Castle Black,"['Tyrion Lannister', 'Jon Snow']",3,1
91,0:52:32,0:56:04,The Crownlands,King's Landing,"['Arya Stark', 'Syrio Forel', 'Eddard Stark']",3,1
92,0:01:47,0:02:36,The North,Winterfell,"['Three-Eyed Raven', 'Bran Stark']",4,1
93,0:02:36,0:03:30,The North,Winterfell,"['Bran Stark', 'Summer', 'Old Nan', 'Theon Greyjoy', 'Hodor']",4,1
94,0:03:30,0:05:13,The North,Winterfell,"['Tyrion Lannister', 'Robb Stark', 'Maester Luwin', 'Yoren', 'Grey Wind', 'Hodor', 'Bran Stark', 'Theon Greyjoy']",4,1
95,0:05:13,0:06:40,The North,Winterfell,"['Theon Greyjoy', 'Tyrion Lannister']",4,1
96,0:06:40,0:10:11,The Wall,Castle Black,"['Jon Snow', 'Grenn', 'Alliser Thorne', 'Samwell Tarly', 'Pypar', 'Rast']",4,1
97,0:10:11,0:11:21,Vaes Dothrak,,"['Khal Drogo', 'Jorah Mormont', 'Daenerys Targaryen', 'Viserys Targaryen']",4,1
98,0:11:21,0:12:17,Vaes Dothrak,,"['Jorah Mormont', 'Daenerys Targaryen']",4,1
99,0:12:17,0:17:10,Vaes Dothrak,,"['Viserys Targaryen', 'Doreah']",4,1
100,0:17:10,0:18:53,The Crownlands,King's Landing,"['Sansa Stark', 'Septa Mordane']",4,1
101,0:18:53,0:21:17,The Crownlands,King's Landing,"['Eddard Stark', 'Petyr Baelish', 'Renly Baratheon', 'Grand Maester Pycelle', 'Janos Slynt', 'Lord Varys']",4,1
102,0:21:17,0:23:42,The Crownlands,King's Landing,"['Grand Maester Pycelle', 'Eddard Stark']",4,1
103,0:23:42,0:25:30,The Crownlands,King's Landing,"['Arya Stark', 'Eddard Stark']",4,1
104,0:25:30,0:27:42,The Wall,Castle Black,"['Jon Snow', 'Samwell Tarly']",4,1
105,0:27:42,0:29:30,The Crownlands,King's Landing,"['Eddard Stark', 'Petyr Baelish']",4,1
106,0:29:30,0:30:03,The Crownlands,King's Landing,"['Hugh of the Vale', 'Jory Cassel']",4,1
107,0:30:03,0:30:24,The Crownlands,King's Landing,"['Jory Cassel', 'Eddard Stark']",4,1
108,0:30:24,0:32:21,The Crownlands,King's Landing,"['Eddard Stark', 'Gendry', 'Tobho Mott']",4,1
109,0:32:21,0:32:30,The Crownlands,King's Landing,"['Jory Cassel', 'Eddard Stark']",4,1
110,0:32:30,0:34:27,The Crownlands,King's Landing,"['Jaime Lannister', 'Jory Cassel']",4,1
111,0:34:27,0:35:28,The Wall,Castle Black,"['Jon Snow', 'Pypar', 'Grenn', 'Rast']",4,1
112,0:35:28,0:35:54,The Wall,Castle Black,"['Rast', 'Jon Snow', 'Grenn', 'Pypar', 'Ghost']",4,1
113,0:35:54,0:37:12,The Wall,Castle Black,"['Samwell Tarly', 'Alliser Thorne', 'Rast', 'Jon Snow', 'Pypar', 'Grenn']",4,1
114,0:37:12,0:38:33,Vaes Dothrak,,"['Viserys Targaryen', 'Doreah', 'Daenerys Targaryen', 'Irri']",4,1
115,0:38:33,0:44:32,The Wall,Castle Black,"['Samwell Tarly', 'Jon Snow', 'Alliser Thorne']",4,1
116,0:44:32,0:45:38,Vaes Dothrak,,"['Daenerys Targaryen', 'Jorah Mormont']",4,1
117,0:45:38,0:49:47,The Crownlands,King's Landing,"['Robert Baratheon', 'Cersei Lannister', 'Tommen Baratheon', 'Myrcella Baratheon', 'Barristan Selmy', 'Joffrey Baratheon', 'Sansa Stark', 'Petyr Baelish', 'Septa Mordane', 'Arya Stark', 'Sandor Clegane', 'Gregor Clegane', 'Hugh of the Vale', 'Renly Baratheon']",4,1
118,0:49:47,0:51:27,The Crownlands,King's Landing,"['Jory Cassel', 'Cersei Lannister', 'Eddard Stark']",4,1
119,0:51:27,0:54:31,The Riverlands,Crossroads Inn,"['Catelyn Stark', 'Rodrik Cassel', 'Marillion', 'Tyrion Lannister', 'Yoren', 'Bronn']",4,1
120,0:01:53,0:02:18,The Crownlands,King's Landing,['Eddard Stark'],5,1
121,0:02:18,0:02:55,The Crownlands,King's Landing,"['Hugh of the Vale', 'Eddard Stark', 'Barristan Selmy']",5,1
122,0:02:55,0:03:50,The Crownlands,King's Landing,"['Eddard Stark', 'Barristan Selmy']",5,1
123,0:03:50,0:06:23,The Crownlands,King's Landing,"['Robert Baratheon', 'Lancel Lannister', 'Eddard Stark']",5,1
124,0:06:23,0:10:22,The Crownlands,King's Landing,"['Gregor Clegane', 'Joffrey Baratheon', 'Eddard Stark', 'Sansa Stark', 'Petyr Baelish', 'Septa Mordane', 'Renly Baratheon', 'Grand Maester Pycelle', 'Loras Tyrell', 'Robert Baratheon', 'Sandor Clegane', 'Barristan Selmy', 'Myrcella Baratheon', 'Tommen Baratheon']",5,1
125,0:10:22,0:13:40,The Vale,Eastern Road,"['Marillion', 'Tyrion Lannister', 'Catelyn Stark', 'Rodrik Cassel', 'Bronn']",5,1
126,0:13:40,0:16:15,The North,Winterfell,"['Bran Stark', 'Maester Luwin', 'Theon Greyjoy']",5,1
127,0:16:15,0:17:59,The North,Winterfell,"['Ros', 'Theon Greyjoy']",5,1
128,0:17:59,0:18:13,The Crownlands,King's Landing,['Arya Stark'],5,1
129,0:18:13,0:20:47,The Crownlands,King's Landing,"['Lord Varys', 'Eddard Stark', 'Jory Cassel']",5,1
130,0:20:47,0:22:17,The Crownlands,King's Landing,"['Arya Stark', 'Lord Varys', 'Illyrio Mopatis']",5,1
131,0:22:17,0:25:50,The Crownlands,King's Landing,"['Petyr Baelish', 'Lord Varys', 'Renly Baratheon']",5,1
132,0:25:50,0:26:51,The Crownlands,King's Landing,['Arya Stark'],5,1
133,0:26:51,0:28:35,The Crownlands,King's Landing,"['Arya Stark', 'Eddard Stark', 'Jory Cassel', 'Yoren']",5,1
134,0:28:35,0:28:50,The Crownlands,King's Landing,"['Arya Stark', 'Jory Cassel']",5,1
135,0:28:50,0:29:03,The Crownlands,King's Landing,"['Eddard Stark', 'Yoren']",5,1
136,0:29:03,0:30:13,The Vale,Eastern Road,"['Catelyn Stark', 'Tyrion Lannister', 'Rodrik Cassel', 'Bronn', 'Vardis Egen']",5,1
137,0:30:13,0:30:31,The Crownlands,King's Landing,"['Eddard Stark', 'Royal Steward']",5,1
138,0:30:31,0:34:06,The Crownlands,King's Landing,"['Robert Baratheon', 'Eddard Stark', 'Renly Baratheon', 'Grand Maester Pycelle', 'Lord Varys', 'Petyr Baelish']",5,1
139,0:34:06,0:34:15,The Crownlands,King's Landing,['Eddard Stark'],5,1
140,0:34:15,0:35:13,The Crownlands,King's Landing,"['Eddard Stark', 'Jory Cassel', 'Petyr Baelish']",5,1
141,0:35:13,0:37:12,The Vale,The Eyrie,"['Catelyn Stark', 'Tyrion Lannister', 'Lysa Arryn', 'Robin Arryn', 'Vardis Egen']",5,1
142,0:37:12,0:37:53,The Vale,The Eyrie,"['Tyrion Lannister', 'Mord']",5,1
143,0:37:53,0:41:50,The Crownlands,King's Landing,"['Renly Baratheon', 'Loras Tyrell']",5,1
144,0:41:50,0:48:09,The Crownlands,King's Landing,"['Robert Baratheon', 'Cersei Lannister']",5,1
145,0:48:09,0:49:05,The Crownlands,King's Landing,"['Eddard Stark', 'Mhaegen']",5,1
146,0:49:05,0:49:53,The Crownlands,King's Landing,"['Eddard Stark', 'Petyr Baelish', 'Jory Cassel']",5,1
147,0:49:53,0:53:06,The Crownlands,King's Landing,"['Eddard Stark', 'Jory Cassel', 'Jaime Lannister', 'Petyr Baelish']",5,1
148,0:01:53,0:06:22,The Crownlands,King's Landing,"['Eddard Stark', 'Cersei Lannister', 'Robert Baratheon']",6,1
149,0:06:22,0:07:50,Vaes Dothrak,,"['Daenerys Targaryen', 'Drogon', 'Rhaegal', 'Viserion', 'Irri']",6,1
150,0:07:50,0:08:25,The North,Winterfell,"['Three-Eyed Raven', 'Bran Stark']",6,1
151,0:08:25,0:08:36,The North,Winterfell,"['Bran Stark', 'Hodor']",6,1
152,0:08:36,0:09:42,The North,The Wolfswood,"['Bran Stark', 'Theon Greyjoy', 'Robb Stark']",6,1
153,0:09:42,0:13:09,The North,The Wolfswood,"['Bran Stark', 'Osha', 'Stiv', 'Wallen', 'Robb Stark', 'Theon Greyjoy']",6,1
154,0:13:09,0:14:16,The Vale,The Eyrie,"['Tyrion Lannister', 'Mord']",6,1
155,0:14:16,0:16:08,The Crownlands,King's Landing,"['Syrio Forel', 'Arya Stark']",6,1
156,0:16:08,0:19:39,Vaes Dothrak,,"['Daenerys Targaryen', 'Khal Drogo', 'Viserys Targaryen', 'Jorah Mormont', 'Irri', 'Dothraki Crone', 'Doreah', 'Rhaego']",6,1
157,0:19:39,0:21:54,Vaes Dothrak,,"['Drogon', 'Rhaegal', 'Viserion', 'Viserys Targaryen', 'Jorah Mormont']",6,1
158,0:21:54,0:23:52,The Vale,The Eyrie,"['Tyrion Lannister', 'Mord']",6,1
159,0:23:52,0:29:27,The Vale,The Eyrie,"['Tyrion Lannister', 'Lysa Arryn', 'Catelyn Stark', 'Robin Arryn', 'Vardis Egen', 'Bronn', 'Rodrik Cassel']",6,1
160,0:29:27,0:31:20,The Crownlands,The Kingswood,"['Robert Baratheon', 'Lancel Lannister', 'Renly Baratheon', 'Barristan Selmy']",6,1
161,0:31:20,0:35:25,The Crownlands,King's Landing,"['Eddard Stark', 'Grand Maester Pycelle', 'Petyr Baelish', 'Beric Dondarrion', 'Joss']",6,1
162,0:35:25,0:39:52,The Vale,The Eyrie,"['Bronn', 'Vardis Egen', 'Tyrion Lannister', 'Lysa Arryn', 'Robin Arryn', 'Catelyn Stark', 'Mord', 'Rodrik Cassel']",6,1
163,0:39:52,0:42:45,The Crownlands,King's Landing,"['Septa Mordane', 'Sansa Stark', 'Joffrey Baratheon']",6,1
164,0:42:45,0:44:18,The North,Winterfell,"['Theon Greyjoy', 'Ros']",6,1
165,0:44:18,0:46:45,The Crownlands,King's Landing,"['Eddard Stark', 'Sansa Stark', 'Arya Stark']",6,1
166,0:46:45,0:51:30,Vaes Dothrak,,"['Daenerys Targaryen', 'Khal Drogo', 'Doreah', 'Jorah Mormont', 'Viserys Targaryen', 'Irri', 'Qotho']",6,1
167,0:01:52,0:06:35,The Westerlands,Lannister Camp,"['Jaime Lannister', 'Tywin Lannister']",7,1
168,0:06:35,0:09:36,The Crownlands,King's Landing,"['Eddard Stark', 'Cersei Lannister']",7,1
169,0:09:36,0:14:40,The Crownlands,King's Landing,"['Petyr Baelish', 'Ros', 'Armeca']",7,1
170,0:14:40,0:18:22,The North,Winterfell,"['Osha', 'Theon Greyjoy', 'Maester Luwin']",7,1
171,0:18:22,0:19:14,The Wall,Castle Black,"['Jon Snow', 'Samwell Tarly']",7,1
172,0:19:14,0:19:59,The Wall,Castle Black,"['Jon Snow', 'Samwell Tarly', 'Jeor Mormont']",7,1
173,0:19:59,0:20:13,The Crownlands,King's Landing,"['Eddard Stark', 'Renly Baratheon']",7,1
174,0:20:13,0:25:08,The Crownlands,King's Landing,"['Joffrey Baratheon', 'Robert Baratheon', 'Cersei Lannister', 'Grand Maester Pycelle', 'Renly Baratheon', 'Eddard Stark', 'Barristan Selmy']",7,1
175,0:25:08,0:26:45,The Crownlands,King's Landing,"['Eddard Stark', 'Barristan Selmy', 'Grand Maester Pycelle', 'Renly Baratheon', 'Lord Varys']",7,1
176,0:26:45,0:28:08,Vaes Dothrak,,"['Khal Drogo', 'Daenerys Targaryen']",7,1
177,0:28:08,0:29:12,Vaes Dothrak,,"['Daenerys Targaryen', 'Jorah Mormont', 'Doreah', 'Rakharo', 'Irri']",7,1
178,0:29:12,0:29:45,Vaes Dothrak,,"['Jorah Mormont', 'Little Bird']",7,1
179,0:29:45,0:32:56,Vaes Dothrak,,"['Wine Merchant', 'Daenerys Targaryen', 'Doreah', 'Irri', 'Rakharo', 'Jorah Mormont']",7,1
180,0:32:56,0:38:26,The Wall,Castle Black,"['Jeor Mormont', 'Jon Snow', 'Pypar', 'Samwell Tarly', 'Grenn', 'Rast', 'Alliser Thorne', 'Maester Aemon', 'Othell Yarwyck', 'Jaremy Rykker']",7,1
181,0:38:26,0:40:12,The Wall,Castle Black,"['Jon Snow', 'Samwell Tarly', 'Pypar']",7,1
182,0:40:12,0:42:19,The Crownlands,King's Landing,"['Renly Baratheon', 'Eddard Stark']",7,1
183,0:42:19,0:45:49,The Crownlands,King's Landing,"['Eddard Stark', 'Tomard', 'Petyr Baelish']",7,1
184,0:45:49,0:46:27,The Wall,Castle Black,"['Jon Snow', 'Samwell Tarly', 'Ghost', 'Othell Yarwyck']",7,1
185,0:46:27,0:47:57,North of the Wall,The Haunted Forest,"['Jon Snow', 'Samwell Tarly', 'Othell Yarwyck', 'Ghost']",7,1
186,0:47:57,0:51:36,Vaes Dothrak,,"['Daenerys Targaryen', 'Jorah Mormont', 'Wine Merchant', 'Rakharo', 'Khal Drogo']",7,1
187,0:51:36,0:51:57,Vaes Dothrak,,"['Khal Drogo', 'Jorah Mormont', 'Qotho', 'Daenerys Targaryen', 'Wine Merchant']",7,1
188,0:51:57,0:52:17,The Crownlands,King's Landing,"['Eddard Stark', 'Varly', 'Royal Steward', 'Robert Baratheon']",7,1
189,0:52:17,0:52:58,The Crownlands,King's Landing,"['Eddard Stark', 'Petyr Baelish', 'Lord Varys']",7,1
190,0:52:58,0:53:12,The Crownlands,King's Landing,"['Eddard Stark', 'Petyr Baelish', 'Lord Varys', 'Royal Steward', 'Janos Slynt']",7,1
191,0:53:12,0:56:41,The Crownlands,King's Landing,"['Eddard Stark', 'Petyr Baelish', 'Lord Varys', 'Joffrey Baratheon', 'Cersei Lannister', 'Barristan Selmy', 'Sandor Clegane', 'Royal Steward', 'Janos Slynt']",7,1
192,0:01:53,0:02:00,The Crownlands,King's Landing,"['Syrio Forel', 'Arya Stark']",8,1
193,0:02:00,0:02:14,The Crownlands,King's Landing,[],8,1
194,0:02:14,0:02:22,The Crownlands,King's Landing,"['Syrio Forel', 'Arya Stark']",8,1
195,0:02:22,0:02:37,The Crownlands,King's Landing,['Vayon Poole'],8,1
196,0:02:37,0:03:19,The Crownlands,King's Landing,"['Septa Mordane', 'Sansa Stark']",8,1
197,0:03:19,0:05:53,The Crownlands,King's Landing,"['Syrio Forel', 'Arya Stark', 'Meryn Trant']",8,1
198,0:05:53,0:06:14,The Crownlands,King's Landing,['Arya Stark'],8,1
199,0:06:14,0:06:35,The Crownlands,King's Landing,"['Sansa Stark', 'Sandor Clegane']",8,1
200,0:06:35,0:07:12,The Crownlands,King's Landing,"['Arya Stark', 'Red Keep Stableboy']",8,1
201,0:07:12,0:10:14,The Crownlands,King's Landing,"['Eddard Stark', 'Lord Varys']",8,1
202,0:10:14,0:11:30,The Wall,Castle Black,"['Samwell Tarly', 'Jeor Mormont', 'Jon Snow', 'Othor', 'Jafer Flowers', 'Othell Yarwyck']",8,1
203,0:11:30,0:12:59,The Wall,Castle Black,"['Jeor Mormont', 'Jon Snow']",8,1
204,0:12:59,0:15:11,The Crownlands,King's Landing,"['Grand Maester Pycelle', 'Cersei Lannister', 'Lord Varys', 'Petyr Baelish', 'Sansa Stark']",8,1
205,0:15:11,0:16:24,The North,Winterfell,"['Robb Stark', 'Maester Luwin', 'Theon Greyjoy']",8,1
