,Release Date,Season,Episode,Episode Title,Name,Sentence,sentiment_score
44,2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,Jon said he was a deserter.,-0.996330201625824
45,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,But do you understand why I had to kill him?,-0.9863543510437012
46,2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,Our way is the old way?,-0.9629290699958801
47,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,The man who passes the sentence should swing the sword.,-0.3789849281311035
48,2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,Is it true he saw the White Walkers?,0.7752711772918701
49,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,The White Walkers have been gone for thousands of years.,-0.7407936453819275
50,2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,So he was lying?,-0.9852588176727295
51,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,A madman sees what he sees.,0.9446512460708618
52,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,What is it?,-0.9912976026535034
53,2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,Mountain lion?,-0.955302894115448
54,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,There are no mountain lions in these woods.,-0.7809014916419983
55,2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,It's a freak.,0.3882613182067871
56,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,It's a direwolf.,-0.6094955801963806
57,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Tough old beast.,-0.8593552708625793
58,2011-04-17,Season 1,Episode 1,Winter is Coming,robb stark,There are no direwolves south of the Wall.,-0.881697416305542
59,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,Now there are five.,0.9950799345970154
60,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,You want to hold it?,0.9908245801925659
61,2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,Where will they go? Their mother's dead.,-0.9989774227142334
62,2011-04-17,Season 1,Episode 1,Winter is Coming,cassel,They don't belong down here.,-0.9990677237510681
63,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Better a quick death. They won't last without their mother.,-0.7989983558654785
64,2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,Right. Give it here.,0.9994701147079468
65,2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,NO!,-0.9953364133834839
66,2011-04-17,Season 1,Episode 1,Winter is Coming,robb stark,Put away your blade.,-0.20382559299468994
67,2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,"I take orders from your father, not you.",-0.87349534034729
68,2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,"Please, father!",0.997771680355072
69,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"I'm sorry, Bran.",-0.9987062811851501
70,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,Lord Stark? There are five pups. One for each of the Stark children. The direwolf is the sigil of your House. They were meant to have them.,-0.9093678593635559
71,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"You will train them yourselves. You will feed them yourselves. And if they die, you will bury them yourselves.",0.9561712145805359
72,2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,What about you?,-0.6461352109909058
73,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,I'm not a Stark. Get on.,-0.9955193996429443
74,2011-04-17,Season 1,Episode 1,Winter is Coming,robb stark,What is it?,-0.9912976026535034
75,2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,"The runt of the litter. That one's yours, Snow.",-0.9673078656196594
76,2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,"As your brother, I feel it's my duty to warn you",-0.7657865285873413
77,2011-04-17,Season 1,Episode 1,Winter is Coming,cersei lannister,"And you never worry about anything. When we were seven, you jumped off the cliffs as Casterly Rock. One hundred foot drop into the water. And you were never afraid.",0.9985748529434204
78,2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,"There was nothing to be afraid of until you told father. [In a whisper, mimicking] We're Lannisters. Lannisters don't act like fools.",0.9384317398071289
79,2011-04-17,Season 1,Episode 1,Winter is Coming,cersei lannister,What if Jon Arryn told someone?,-0.9964938163757324
80,2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,But who would he tell?,-0.997289776802063
81,2011-04-17,Season 1,Episode 1,Winter is Coming,cersei lannister,My husband.,0.9922474026679993
82,2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,"If he told the king, both our heads would be skewered on the city gates by now. Whatever Jon Arryn knew or didn't know, it died with him. And Robert will choose a new Hand of the king, someone to do his job while he's off fucking boars and hunting whores. Or is it the other way around? And life will go on.",-0.9850513339042664
83,2011-04-17,Season 1,Episode 1,Winter is Coming,cersei lannister,You should be the Hand of the king.,0.9952208995819092
84,2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,"That's an honor I can do without. Their days are too long, their lives are too short.",-0.9970884323120117
85,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,All these years and I still feel like an outsider when I come here.,0.8137707114219666
86,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,You have five northern children. You're not an outsider.,0.9979687333106995
87,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,I wonder if the old gods agree.,0.9491367340087891
88,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,It's your gods with all the rules.,0.9984862804412842
89,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,"I am so sorry, my love.",-0.997376024723053
90,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Tell me.,0.9645819664001465
91,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,There was a raven from Kings Landing. Jon Arryn is dead. A fever took him. I know he was like a father to you.,-0.4566895663738251
92,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Your sister. The boy …,0.9802953004837036
93,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,They both have their health. Gods be good. [pause] The raven brought more news. The king rides for Winterfell. With the queen and all the rest of them.,0.976849377155304
94,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"He's coming this far North, there's only one thing he's after.",-0.9979962706565857
95,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,"You can always say no, Ned.",-0.926818311214447
96,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,We need plenty of candles for Lord Tyrion's chamber. I'm told he reads all night.,0.3887846767902374
97,2011-04-17,Season 1,Episode 1,Winter is Coming,maester luwin,I'm told he drinks all night.,-0.06111210584640503
98,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,How much could he possibly drink? A man of his … stature.,0.14557760953903198
99,2011-04-17,Season 1,Episode 1,Winter is Coming,luwin,We've brought up eight barrels of ale from the cellar. Perhaps we'll find out.,-0.9806253910064697
100,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,"In any case, candles.",0.9770247340202332
101,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,Why's your mother so dead-set on us getting pretty for the king?,-0.9969721436500549
102,2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,"It's for the queen, I bet. I hear she's [sleek as a mink?]",0.9827340841293335
103,2011-04-17,Season 1,Episode 1,Winter is Coming,robb stark,I hear the prince is a right royal prick.,0.9791505932807922
104,2011-04-17,Season 1,Episode 1,Winter is Coming,theon greyjoy,Think of all those southern girls he gets to stab with his right royal prick.,-0.9862953424453735
105,2011-04-17,Season 1,Episode 1,Winter is Coming,robb stark,"Go on, Tommy, shave him good. He's never met a girl he likes better than his own hair.",0.9935762882232666
106,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,"Gods, but they grow fast. [Seeing BRAN on the wall] Brandon!",0.9900512099266052
107,2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,I saw the king! He's got hundreds of people!,0.9989914894104004
108,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,How many times have I told you,-0.04313024878501892
109,2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,But he's coming right now! Down our road!,0.9667975902557373
110,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,I want you to promise me,0.9981779456138611
111,2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,I promise.,0.9996455311775208
112,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,D'you know what?,-0.9211380481719971
113,2011-04-17,Season 1,Episode 1,Winter is Coming,bran stark,What?,-0.9872739315032959
114,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,You always look at your feet before you lie. Run and find your father. Tell him the king is close.,0.996594250202179
115,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,"Where's Arya? Sansa, where's your sister?",-0.991514265537262
116,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"Hey,, hey, hey, hey. What are you doing with that on? [Pulls off ARYA's helm]",-0.39427438378334045
117,2011-04-17,Season 1,Episode 1,Winter is Coming,arya stark,Move!,0.9996053576469421
118,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Your Grace.,0.9997196793556213
119,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,You've got fat.,-0.9908292293548584
120,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,Cat!,0.9968233704566956
121,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,Your Grace.,0.9997196793556213
122,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,Nine years. Why haven't I seen you? Where the hell have you been?,-0.9942428469657898
123,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"Guarding the North for you, Your Grace. Winterfell is yours.",0.997501790523529
124,2011-04-17,Season 1,Episode 1,Winter is Coming,arya stark,Where's the Imp?,-0.992317259311676
125,2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,Will you shut up?,-0.998110830783844
126,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,"Who have we here? You must be Robb. My, you're a pretty one. Your name is?",0.9938989877700806
127,2011-04-17,Season 1,Episode 1,Winter is Coming,arya stark,Arya.,-0.14798232913017273
128,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,Ooh. Show us your muscles. You'll be a soldier.,0.9975591897964478
129,2011-04-17,Season 1,Episode 1,Winter is Coming,arya stark,That's Jaime Lannister. The queen's twin brother.,0.9766778945922852
130,2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,Would you please shut up.,-0.9975988864898682
131,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,My queen.,0.9937795996665955
132,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,My queen.,0.9937795996665955
133,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,Take me to your crypt. I want to pay my respects.,0.9984316825866699
134,2011-04-17,Season 1,Episode 1,Winter is Coming,cersei lannister,"We've been riding for a month, my love. Surely the dead can wait.",-0.9901524782180786
135,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,Ned.,0.906092643737793
136,2011-04-17,Season 1,Episode 1,Winter is Coming,cersei lannister,Where is our brother? Go find the little beast.,-0.5911943912506104
137,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Tell me about Jon Arryn.,0.9922422170639038
138,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,"One minute he was fine, and then … Burned right through him, whatever it was. I loved that man.",0.9987147450447083
139,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,We both did.,0.9989048838615417
140,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,"He never had to teach you much, but me … You remember me at 16? All I wanted to do was crack skulls and fuck girls. He showed me what was what.",0.9465421438217163
141,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Aye.,0.997207522392273
142,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,"Don't look at me like that. Not his fault I didn't listen. I need you, Ned. Down at Kings Landing. Not up here, where you're no damn use to anybody. Lord Eddard Stark, I would name you the Hand of the king.",0.7061312794685364
143,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,I'm not worthy of the honor.,-0.9995769262313843
144,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,"I'm not trying to honor you. I'm trying to get you to run my kingdom while I eat, drink, and whore my way to an early grave. Damn it, Ned, stand up. You helped me win the Iron Throne, now help me keep the damn thing. We were meant to rule together. If your sister had lived, we would have been bound by blood. Well, it's not too late. I have a son, you have a daughter. We'll join our Houses.",0.9839345812797546
145,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,Mmh. It is true what they say about the Northern girls.,0.9993227124214172
146,2011-04-17,Season 1,Episode 1,Winter is Coming,ros,Did you hear the king's in Winterfell?,-0.9283265471458435
147,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,I did hear something about that.,0.9948896765708923
148,2011-04-17,Season 1,Episode 1,Winter is Coming,ros,And the queen. And her twin brother. They say that he is the most handsome man in the Seven Kingdoms.,0.9993053078651428
149,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,And the other brother?,-0.8775006532669067
150,2011-04-17,Season 1,Episode 1,Winter is Coming,ros,The queen has two brothers?,-0.8394664525985718
151,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,There's the pretty one. And there's the clever one.,0.9995988607406616
152,2011-04-17,Season 1,Episode 1,Winter is Coming,ros,I hear they call him the Imp.,-0.9695872664451599
153,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,I hear he hates that nickname.,-0.998695969581604
154,2011-04-17,Season 1,Episode 1,Winter is Coming,ros,Oh? I hear he's more than earned it. I hear he's a drunken little lecher into all manner of perversions.,-0.9416465163230896
155,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,Clever girl.,0.9997317790985107
156,2011-04-17,Season 1,Episode 1,Winter is Coming,ros,"We've been expecting you, Lord Tyrion.",0.9889096021652222
157,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,Have you?,0.9777470231056213
158,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,The gods gave me one blessing.,0.9992902278900146
159,2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,Don't get up.,-0.9961797595024109
160,2011-04-17,Season 1,Episode 1,Winter is Coming,ros,M'lord.,0.9915072917938232
161,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,"Should I explain to you the meaning of a closed door in a whorehouse, brother?",-0.9964557886123657
162,2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,"You've much to teach me, no doubt. But our sister craves your attention.",-0.9869884252548218
163,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,"She has odd cravings, our sister.",-0.3926415741443634
164,2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,"A family trait. Now, the Starks are feasting us at sundown. Don't leave me alone with these people.",0.9898161292076111
165,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,"I'm sorry, I've begun the feast a bit early. And this is the first of many courses.",-0.9198395013809204
166,2011-04-17,Season 1,Episode 1,Winter is Coming,jaime lannister,"I thought you might say that. But since we're short on time, Come on, girls. See you at sundown.",0.9984514713287354
167,2011-04-17,Season 1,Episode 1,Winter is Coming,tyrion lannister,Close the door!,-0.7768651247024536
168,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,Did you have to bury her in a place like this? She should be on a hill somewhere with the sun and the clouds above her.,-0.9781758785247803
169,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,She was my sister. This is where she belongs.,0.9990859031677246
170,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,She belonged with me.,0.9986357688903809
171,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,"In my dreams, I kill him every night.",-0.9784776568412781
172,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"It's done, Your Grace. The Targaryens are gone.",-0.9960736036300659
173,2011-04-17,Season 1,Episode 1,Winter is Coming,robert baratheon,Not all of them.,-0.9976027011871338
174,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys targaryen,Daenerys!,0.9959916472434998
175,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys targaryen,Daenerys! There's our bride to be! Look – a gift from Illyrio. Touch it. Come on. Feel the fabric. Mmmm. Isn't he a gracious host?,0.9944198727607727
176,2011-04-17,Season 1,Episode 1,Winter is Coming,daenerys targaryen,We've been his guests for over a year and he's never asked us for anything.,0.9887509346008301
177,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys targaryen,"Illyrio is no fool. He knows I won't forget my friends when I come into my throne. You still slouch. Let me see. You have a woman's body now. I need you to be perfect today. Can you do that for me? You don't want to wake the dragon, do you?",0.9818335771560669
178,2011-04-17,Season 1,Episode 1,Winter is Coming,daenerys targaryen,No.,-0.9945778846740723
179,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys targaryen,"When they write the history of my reign, sweet sister, they will say it began today.",0.9975237846374512
180,2011-04-17,Season 1,Episode 1,Winter is Coming,maid,"It's too hot, my lady.",-0.9962763786315918
181,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys targaryen,Where is he?,-0.991294801235199
182,2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,The Dothraki are not known for their punctuality.,-0.9889209270477295
183,2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,"May I present my honored guests? Viserys of House Targaryen, the third of his name. The rightful King of the Andals and the First Men. And his sister, Daenerys, of the House Targaryen.",0.9929114580154419
184,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys targaryen,"Do you see how long his hair is? When Dothraki are defeated in combat, they cut off their braid so the whole world can see their shame. Khal Drogo has never been defeated. He's a savage, of course, but he's one of the finest killers alive. And you will be his queen.",0.9987043142318726
185,2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,"Come forward, my dear.",0.9985486268997192
186,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys targaryen,Where's he going?,-0.9802266955375671
187,2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,The ceremony is over.,-0.9983676671981812
188,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys targaryen,But he didn't say anything. Did he like her?,-0.9912141561508179
189,2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,"Trust me, Your Grace. If he didn't like her, we'd know.",0.9955391883850098
190,2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,It won't be long now. Soon you will cross the Narrow Sea and take back your father's throne. The people drink secret toasts to your health. They cry out for their true king.,0.9684845209121704
191,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys targaryen,When will they be married?,-0.9583708643913269
192,2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,Soon. The Dothraki never stay still for long.,-0.9910544157028198
193,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys targaryen,Is it true they lie with their horses?,-0.8485308289527893
194,2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,I wouldn't ask Khal Drogo.,-0.915079653263092
195,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys targaryen,Do you take me for a fool?,-0.9938949346542358
196,2011-04-17,Season 1,Episode 1,Winter is Coming,illyrio,I take you for a king. Kings lack the caution of common men. My apologies if I've given offense.,-0.9982673525810242
197,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys targaryen,I know how to play a man like Drogo. I give him a queen and he gives me an army.,0.9926340579986572
198,2011-04-17,Season 1,Episode 1,Winter is Coming,daenerys targaryen,I don't want to be his queen. I want to go home.,-0.952775239944458
199,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys targaryen,"So do I. I want us both to go home. But they took it from us. So tell me, sweet sister, how do we go home?",-0.0705445408821106
200,2011-04-17,Season 1,Episode 1,Winter is Coming,daenerys targaryen,I don't know.,-0.9950223565101624
201,2011-04-17,Season 1,Episode 1,Winter is Coming,viserys targaryen,"We go home with an army. With Khal Drogo's army. I would let his whole tribe fuck you, all 40,000 men and their horses too, if that's what it took.",-0.990204393863678
202,2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,Do you think Joffrey will like me? What if he thinks I'm ugly?,-0.9974381327629089
203,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,Then he is the stupidest prince that ever lived.,-0.99881911277771
204,2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,He's so handsome.,0.999678373336792
205,2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,When would we be married? Soon or do we have to wait?,-0.9964579343795776
206,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,Hush now. Your father hasn't even said yes.,-0.996514618396759
207,2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,Why would he say no? He'd be the second most powerful man in the kingdoms.,0.9888935089111328
208,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,He'd have to leave home. He'd have to leave me. And so would you.,-0.9602389931678772
209,2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,You left your home to come here. And I'd be queen someday. Please make father say yes.,0.9992147088050842
210,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,Sansa…,-0.9961040019989014
211,2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,"Please, please. It's the only thing I ever wanted.",-0.9479314684867859
212,2011-04-17,Season 1,Episode 1,Winter is Coming,benjen stark,Is he dead yet?,-0.9948325157165527
213,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,Uncle Benjen!,0.9986257553100586
214,2011-04-17,Season 1,Episode 1,Winter is Coming,benjen stark,You got bigger. I rode all day. Didn't want to leave you alone with the Lannisters. Why aren't you at the feast?,0.8914795517921448
215,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,Lady Stark thought it might insult the royal family to seat a bastard in their midst.,-0.9954843521118164
216,2011-04-17,Season 1,Episode 1,Winter is Coming,benjen stark,"Well, you're always welcome on the wall. No bastard was ever refused a seat there.",0.9995850324630737
217,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,So take me with you when you go back.,0.9976500272750854
218,2011-04-17,Season 1,Episode 1,Winter is Coming,benjen stark,Jon…,0.9614465832710266
